GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pos-System,com.company.Pos_System.dto,SalesTodayDto.SalesTodayDtoBuilder,38,0,0,0,1,0,6,0,6,0
Pos-System,com.company.Pos_System.dto,ProductInventoryDto,0,50,0,0,0,8,0,11,0,11
Pos-System,com.company.Pos_System.dto,LoginResponseDto,107,19,22,0,1,3,17,4,6,4
Pos-System,com.company.Pos_System.dto,RevenueStatsDto.RevenueStatsDtoBuilder,38,0,0,0,1,0,6,0,6,0
Pos-System,com.company.Pos_System.dto,OrderItemDto,0,76,0,0,0,10,0,15,0,15
Pos-System,com.company.Pos_System.dto,OrdersDto,0,90,0,0,0,11,0,17,0,17
Pos-System,com.company.Pos_System.dto,TopSellingProductDto,121,0,22,0,4,0,20,0,9,0
Pos-System,com.company.Pos_System.dto,ProductInventoryDto.ProductInventoryDtoBuilder,10,35,0,0,0,1,1,6,1,6
Pos-System,com.company.Pos_System.dto,ErrorDto,49,0,0,0,6,0,11,0,11,0
Pos-System,com.company.Pos_System.dto,ProductDto.ProductDtoBuilder,20,63,0,0,0,1,1,10,1,10
Pos-System,com.company.Pos_System.dto,ErrorDto.ErrorDtoBuilder,57,0,2,0,1,0,8,0,7,0
Pos-System,com.company.Pos_System.dto,SalesTodayDto,40,0,0,0,7,0,9,0,9,0
Pos-System,com.company.Pos_System.dto,AppErrorDto,27,0,0,0,10,0,5,0,5,0
Pos-System,com.company.Pos_System.dto,TotalOrdersDto,40,0,0,0,7,0,9,0,9,0
Pos-System,com.company.Pos_System.dto,UserDto,32,122,7,7,1,13,8,16,1,16
Pos-System,com.company.Pos_System.dto,ProductDto,0,90,0,0,0,12,0,19,0,19
Pos-System,com.company.Pos_System.dto,TokenRequestDto.TokenRequestDtoBuilder,6,21,0,0,0,1,1,4,1,4
Pos-System,com.company.Pos_System.dto,RevenueStatsDto,40,0,0,0,7,0,9,0,9,0
Pos-System,com.company.Pos_System.dto,TotalOrdersDto.TotalOrdersDtoBuilder,37,0,0,0,1,0,6,0,6,0
Pos-System,com.company.Pos_System.dto,CategoryDto,0,60,0,0,0,8,0,11,0,11
Pos-System,com.company.Pos_System.dto,WareHouseDto,0,40,0,0,0,7,0,9,0,9
Pos-System,com.company.Pos_System.dto,SalesByCategoryDto,121,0,22,0,4,0,20,0,9,0
Pos-System,com.company.Pos_System.dto,SalesOverviewDto,121,0,22,0,4,0,20,0,9,0
Pos-System,com.company.Pos_System.dto,WareHouseDto.WareHouseDtoBuilder,8,28,0,0,0,1,1,5,1,5
Pos-System,com.company.Pos_System.dto,HttpApiResponse.HttpApiResponseBuilder,12,35,0,0,0,1,1,6,1,6
Pos-System,com.company.Pos_System.dto,OrderItemDto.OrderItemDtoBuilder,27,39,0,0,0,1,3,6,3,6
Pos-System,com.company.Pos_System.dto,TokenRequestDto,0,30,0,0,0,6,0,7,0,7
Pos-System,com.company.Pos_System.dto,HttpApiResponse,19,31,0,0,2,6,5,6,5,6
Pos-System,com.company.Pos_System.dto,LoginResponseDto.LoginResponseDtoBuilder,7,21,0,0,0,1,1,4,1,4
Pos-System,com.company.Pos_System.dto,OrdersDto.OrdersDtoBuilder,40,36,0,0,0,1,5,5,5,5
Pos-System,com.company.Pos_System.dto,UserDto.UserDtoBuilder,21,44,0,0,0,1,2,7,2,7
Pos-System,com.company.Pos_System.dto,CategoryDto.CategoryDtoBuilder,21,25,0,0,0,1,3,4,3,4
